epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.181,1.62023,2.06447,1.45492,0.52171,0.42364,0.43529,0.20952,1.68944,2.06999,1.55088,0.000665272,0.000665272,0.000665272
2,236.845,1.61119,1.61176,1.4329,0.63697,0.50905,0.5448,0.28304,1.69041,1.92658,1.51176,0.00131546,0.00131546,0.00131546
3,349.578,1.5897,1.49239,1.41434,0.65556,0.56618,0.59305,0.29694,1.78952,1.53123,1.56318,0.00194914,0.00194914,0.00194914
4,461.152,1.50646,1.35448,1.36146,0.62271,0.57975,0.61507,0.34143,1.5063,1.49526,1.43143,0.00192575,0.00192575,0.00192575
5,572.169,1.44158,1.25214,1.31447,0.76406,0.68872,0.75033,0.46342,1.32694,1.0815,1.29077,0.001901,0.001901,0.001901
6,683.199,1.37385,1.14993,1.28116,0.77976,0.71493,0.78402,0.48654,1.29519,1.06535,1.23354,0.00187625,0.00187625,0.00187625
7,793.588,1.33629,1.09678,1.25581,0.80036,0.73869,0.80696,0.50642,1.28008,0.98035,1.24081,0.0018515,0.0018515,0.0018515
8,904.087,1.28422,1.03349,1.22705,0.85494,0.77669,0.85753,0.56116,1.24009,0.85208,1.22394,0.00182675,0.00182675,0.00182675
9,1016.73,1.25713,0.9831,1.21032,0.86229,0.77941,0.86242,0.57578,1.12901,0.80457,1.13448,0.001802,0.001802,0.001802
10,1127.9,1.22004,0.93241,1.18593,0.88233,0.78507,0.87419,0.58654,1.11061,0.76072,1.12496,0.00177725,0.00177725,0.00177725
11,1240.23,1.18348,0.89288,1.16679,0.90136,0.81146,0.89195,0.62048,1.04001,0.71492,1.06934,0.0017525,0.0017525,0.0017525
12,1350.57,1.1621,0.86827,1.1516,0.9112,0.84158,0.91572,0.65638,0.9663,0.63989,1.03892,0.00172775,0.00172775,0.00172775
13,1461.97,1.13846,0.85153,1.13861,0.92819,0.84672,0.92389,0.6636,0.98618,0.65543,1.04906,0.001703,0.001703,0.001703
14,1574.36,1.11803,0.80808,1.11856,0.9056,0.8388,0.91237,0.65163,0.96279,0.66172,1.02901,0.00167825,0.00167825,0.00167825
15,1686.82,1.09746,0.79878,1.11244,0.93649,0.86821,0.93655,0.68943,0.9366,0.60972,1.00872,0.0016535,0.0016535,0.0016535
16,1798.61,1.07172,0.77177,1.10284,0.91962,0.88009,0.9341,0.69963,0.86139,0.57046,0.98193,0.00162875,0.00162875,0.00162875
17,1909.34,1.06896,0.76166,1.09895,0.93355,0.86608,0.93381,0.68856,0.88326,0.57423,0.99326,0.001604,0.001604,0.001604
18,2018.25,1.03815,0.73567,1.08334,0.93602,0.87557,0.93716,0.70239,0.89286,0.5477,0.99588,0.00157925,0.00157925,0.00157925
19,2129.18,1.02403,0.72924,1.07997,0.93785,0.90158,0.94445,0.72576,0.8292,0.54258,0.96187,0.0015545,0.0015545,0.0015545
20,2240.72,1.01967,0.72331,1.07021,0.92004,0.90463,0.95227,0.73455,0.81208,0.53237,0.9559,0.00152975,0.00152975,0.00152975
21,2352.26,0.99615,0.69399,1.06088,0.92567,0.90215,0.9481,0.73587,0.79411,0.51926,0.94076,0.001505,0.001505,0.001505
22,2464.14,0.97712,0.68355,1.05428,0.91725,0.91855,0.95386,0.73366,0.80918,0.53452,0.95179,0.00148025,0.00148025,0.00148025
23,2576.97,0.97096,0.66972,1.04756,0.9299,0.89282,0.95295,0.74854,0.78024,0.5128,0.92961,0.0014555,0.0014555,0.0014555
24,2690.56,0.95635,0.66242,1.0391,0.95237,0.90158,0.95829,0.75796,0.77829,0.47266,0.93613,0.00143075,0.00143075,0.00143075
25,2801.16,0.94182,0.65376,1.03633,0.92441,0.90611,0.95475,0.75298,0.75934,0.50407,0.92647,0.001406,0.001406,0.001406
26,2912.92,0.92832,0.63727,1.03028,0.95465,0.90894,0.95925,0.76591,0.74553,0.47273,0.91838,0.00138125,0.00138125,0.00138125
27,3024.52,0.92212,0.63434,1.02671,0.94484,0.92042,0.96312,0.77945,0.70692,0.46403,0.90842,0.0013565,0.0013565,0.0013565
28,3134.54,0.91101,0.61694,1.02018,0.94076,0.92514,0.96351,0.78049,0.71563,0.45541,0.90273,0.00133175,0.00133175,0.00133175
29,3245.47,0.90163,0.61121,1.01753,0.93516,0.92364,0.9616,0.77522,0.72883,0.45914,0.91623,0.001307,0.001307,0.001307
30,3356.09,0.88784,0.60544,1.00936,0.95203,0.93161,0.96541,0.78647,0.69769,0.4337,0.9006,0.00128225,0.00128225,0.00128225
31,3465.67,0.88259,0.59398,1.01057,0.95579,0.93778,0.96846,0.79077,0.70432,0.41936,0.91066,0.0012575,0.0012575,0.0012575
32,3576.65,0.88677,0.59543,1.00963,0.94215,0.93552,0.96797,0.79675,0.668,0.43486,0.88747,0.00123275,0.00123275,0.00123275
33,3685.19,0.87328,0.58778,1.00497,0.95423,0.93157,0.97064,0.79768,0.6722,0.41961,0.88661,0.001208,0.001208,0.001208
34,3794.94,0.86279,0.57766,1.00046,0.95855,0.93439,0.9721,0.80738,0.6453,0.40296,0.879,0.00118325,0.00118325,0.00118325
35,3903.76,0.85024,0.57239,0.99919,0.96091,0.92986,0.9717,0.80408,0.65232,0.40816,0.87901,0.0011585,0.0011585,0.0011585
36,4014.38,0.84773,0.56739,0.99538,0.96132,0.94005,0.97191,0.81075,0.63486,0.39837,0.87432,0.00113375,0.00113375,0.00113375
37,4124.77,0.82402,0.55548,0.98709,0.95898,0.9457,0.97308,0.81496,0.6236,0.39942,0.87023,0.001109,0.001109,0.001109
38,4234.98,0.84023,0.5698,0.99422,0.96198,0.94005,0.97488,0.8162,0.62241,0.3982,0.86678,0.00108425,0.00108425,0.00108425
39,4345.36,0.82532,0.55118,0.98631,0.9657,0.93959,0.97497,0.81794,0.62252,0.39182,0.8707,0.0010595,0.0010595,0.0010595
40,4454.69,0.82037,0.55199,0.98365,0.95875,0.94061,0.97357,0.823,0.61807,0.38374,0.86541,0.00103475,0.00103475,0.00103475
41,4566.82,0.80787,0.53973,0.97906,0.95623,0.95136,0.97489,0.82587,0.59777,0.38106,0.86187,0.00101,0.00101,0.00101
42,4679.79,0.80366,0.53402,0.97321,0.95718,0.9482,0.97424,0.82934,0.59146,0.3894,0.85994,0.00098525,0.00098525,0.00098525
43,4790.95,0.80756,0.5333,0.97387,0.96823,0.94796,0.97562,0.83105,0.5889,0.37524,0.85655,0.0009605,0.0009605,0.0009605
44,4903.16,0.79141,0.52384,0.9701,0.96273,0.94975,0.97537,0.83422,0.57051,0.37105,0.85029,0.00093575,0.00093575,0.00093575
45,5015.05,0.7852,0.51902,0.96764,0.96026,0.94796,0.97627,0.8362,0.57599,0.36696,0.84813,0.000911,0.000911,0.000911
46,5125.65,0.76685,0.5071,0.96027,0.96921,0.95136,0.97802,0.84156,0.56395,0.35195,0.84637,0.00088625,0.00088625,0.00088625
47,5235.09,0.77483,0.51523,0.96668,0.96355,0.95685,0.97729,0.84404,0.5593,0.34952,0.84374,0.0008615,0.0008615,0.0008615
48,5346.74,0.7587,0.50207,0.96026,0.97569,0.95023,0.97781,0.84131,0.55573,0.35105,0.84544,0.00083675,0.00083675,0.00083675
49,5456.23,0.75588,0.50134,0.96143,0.97731,0.95008,0.9782,0.84788,0.54608,0.34777,0.83767,0.000812,0.000812,0.000812
50,5566.05,0.75129,0.49698,0.95574,0.9714,0.95701,0.97816,0.85042,0.53958,0.3434,0.84069,0.00078725,0.00078725,0.00078725
51,5674.54,0.74628,0.48945,0.95313,0.96906,0.95656,0.97803,0.85167,0.53126,0.3395,0.83829,0.0007625,0.0007625,0.0007625
52,5784.19,0.74063,0.48423,0.95216,0.96995,0.95249,0.97817,0.85451,0.52333,0.33654,0.83424,0.00073775,0.00073775,0.00073775
53,5893.63,0.73357,0.48311,0.94795,0.97209,0.94853,0.97855,0.85628,0.52418,0.33684,0.83394,0.000713,0.000713,0.000713
54,6004.11,0.72619,0.47552,0.94764,0.97441,0.95136,0.97873,0.85777,0.51973,0.32902,0.83209,0.00068825,0.00068825,0.00068825
55,6112.87,0.72183,0.47988,0.94758,0.96868,0.95192,0.9787,0.86033,0.517,0.32792,0.82746,0.0006635,0.0006635,0.0006635
56,6221.61,0.71748,0.47044,0.94374,0.97238,0.95588,0.97933,0.86083,0.50896,0.32372,0.82808,0.00063875,0.00063875,0.00063875
57,6330.65,0.70716,0.46532,0.94276,0.9743,0.95249,0.97935,0.86657,0.50408,0.32068,0.82584,0.000614,0.000614,0.000614
58,6440.14,0.7015,0.45807,0.93669,0.97003,0.95984,0.97891,0.86625,0.50295,0.31862,0.82514,0.00058925,0.00058925,0.00058925
59,6549.69,0.70025,0.46019,0.94032,0.96609,0.96267,0.97942,0.86561,0.49395,0.32018,0.82105,0.0005645,0.0005645,0.0005645
60,6659.29,0.70022,0.45775,0.94081,0.96674,0.95871,0.9791,0.86987,0.48985,0.31703,0.81949,0.00053975,0.00053975,0.00053975
